2407, hogshead-slings two-half-hitches
1463, honda bowstring
2020 813, honda
1009, hook-and-eye
3064, hook-and-stopper
1294, hook-hitch overhand
1291, hook-hitch
1428, horizontal-matthew-walker
809, hunter's-bend matthew-walker
1136, hybrid
2199, ichabod
1131, improved-englishman
3485, inside-clinch
3067, inside-clinch outside-clinch
171, intermediate-between-the-figure-eight-and-the-stevedore
865, iron
2232, iron-ring
3199 1126, jam
487, jam-hitch butcher's-s binder-s
2239, jam-hitch
966, jamming-bend
3479, jamming-hitch
1483, japanese
861, japanese-bend
1440, japanese-loop
1878, jar-sling jug-sling
1843, josephine
574, josephine carrick-bend
849, jug jar-sling
2150, jug-sling jar-sling
1989, jug-sling double-harness-bend
1181, jug-sling
3520, jumper-hitch single-hitch half-hitch
2758 23, jury-mast
32, kellig-hitch slingstone-hitch
3515, kidney-bean-shape
2477, killeg-hitch
691, killeg-hitch kellig-hitch kellagh-hitch kellick-hitch killock-hitch killick-hitch timber-hitch-and-half-hitch
951 3014 2005, knife-lanyard
648, knob-shape
722, knob
954 1316 1684 203 1773 2346 1150 2415, loop
667 1709 1598 1110 480 2762 1075 1458 803, sheet-bend
1139, halt half-hitch
940 1129, pumpkin-seed
214 565, based-on-footrope
569, in-two-planes
1595, of-four-strands-with-na-elliptical-cross-section-based-on-button
1917, of-herringbone-texture
2468, tied-in-the-end
1566, with-a-diagonal-texture
1038, with-a-triangular-cross-section-and-three-square-faces
1554, ed-strap-hitch half-hitch
2088, s
508, s-with-strands-at-one-end
333 1789 7 1153 263 1472 1178 2760 1008 1567 2759 1243 1444, lanyard
1 21, lanyard-hitch
1699, lanyard bend
147, lanyard ring-hitch
1134, lanyard-based-on-the-figure-eight
1529, lanyard-by-seaman's-way
2119 2120 1978 779, lanyard-s
896 2169, larger-rectangular
1818, lariat lasso-noose
2077, latigo cinch girth cow-hitch
897, lead-line strap-hitch long-eye
707, leader-loop
706, leather-strap-hitch
499, left-hand-bowline
1093 673 1906, left-hand-sheet-bend
439, left-hand-sheet-bend right-hand-sheet-bend
2094, left-handed-half two-strand-left-handed-crown
314, letter-box-shape-adapted-from-a-turk's-head-diagram
1841, ligature half
165, ligature
1101 1556, lineman's-loop
1557, link-sinnet
1558 2280 3269, lobster-buoy-hitch
422, lock noose sheet-bend
463, long-basket-weave
41, long-double-diamond
1893, long-eye
800, long-eye tack-s
1877, long-four-strand-lanyard
254, long-runing-hitch bowline eye-splice
3015 3151 3114 1731 3476 1766, long-running-eye
201, long-running-eye hitch long-eye short-eye-splices
